time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.001781,0.0,0.0879,0.1560,-0.0681,0.0,0.005,triangle,no_load
0.01237,0.0,0.0879,0.1561,-0.0682,0.0,0.005,triangle,no_load
0.023368,0.0,0.0879,0.1561,-0.0682,0.0,0.005,triangle,no_load
0.034419,0.0,0.0879,0.1561,-0.0682,0.0,0.004,triangle,no_load
0.044993,0.0,0.0879,0.1562,-0.0683,0.0,0.004,triangle,no_load
0.055079,0.0,0.0879,0.1562,-0.0683,0.0,0.004,triangle,no_load
0.065495,0.0,0.0879,0.1563,-0.0684,0.0,0.003,triangle,no_load
0.075695,0.0,0.0879,0.1458,-0.0579,0.0,-1.046,triangle,no_load
0.086066,0.0,0.0879,0.1352,-0.0473,0.0,-1.061,triangle,no_load
0.096212,0.0,0.0879,0.1261,-0.0382,0.0,-0.909,triangle,no_load
0.106822,0.0,0.0879,0.1184,-0.0305,0.0,-0.769,triangle,no_load
0.116898,0.0,0.0879,0.1119,-0.0240,0.0,-0.650,triangle,no_load
0.127337,0.0,0.0879,0.1064,-0.0185,0.0,-0.550,triangle,no_load
0.137496,0.0,0.0879,0.1018,-0.0139,0.0,-0.465,triangle,no_load
0.148056,0.0,0.0879,0.0978,-0.0099,0.0,-0.393,triangle,no_load
0.159074,0.0,0.0879,0.0945,-0.0066,0.0,-0.333,triangle,no_load
0.169328,0.0,0.0879,0.0917,-0.0038,0.0,-0.283,triangle,no_load
0.179691,0.0,0.0879,0.0893,-0.0014,0.0,-0.243,triangle,no_load
0.19027,0.0,0.0879,0.0862,0.0017,0.0,-0.203,triangle,no_load
0.20107,0.0,0.0879,0.0845,0.0034,0.0,-0.172,triangle,no_load
0.211682,0.0,0.0879,0.0830,0.0049,0.0,-0.152,triangle,no_load
0.221861,0.0,0.0879,0.0816,0.0063,0.0,-0.134,triangle,no_load
0.232424,0.0,0.0879,0.0804,0.0075,0.0,-0.120,triangle,no_load
0.243548,0.0,0.0879,0.0794,0.0085,0.0,-0.107,triangle,no_load
0.254151,0.0,0.0879,0.0784,0.0095,0.0,-0.096,triangle,no_load
0.264296,0.0,0.0879,0.0775,0.0104,0.0,-0.086,triangle,no_load
0.274863,0.0,0.0879,0.0767,0.0112,0.0,-0.078,triangle,no_load
0.286013,0.0,0.0879,0.0757,0.0122,0.0,-0.069,triangle,no_load
0.296571,0.0,0.0879,0.0751,0.0128,0.0,-0.061,triangle,no_load
0.307622,0.0,0.0879,0.0746,0.0133,0.0,-0.055,triangle,no_load
